קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
3122,7290017647487,גמלא  בלנד אדום,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,,04/12/2020,04/12/2025,,75,,לא,
3338,7290017647500,ירדן  אלרום קברנה 2018,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2018,13/02/2022,07/11/2023,,300,,כן,
3265,7290017647562,רמת הגולן  מרלו כרם יונתן,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2018,08/10/2021,07/11/2023,,190,,כן,
3760,7290017647722,רמת הגולן  גמלא בלנקו 2023,1,יין לבן יבש,היכל היין שקד גולן,,לבן,750,יבש,2023,28/03/2024,12/08/2025,,60,,כן,
3477,7290017647784,ירדן  בראון קברנה 2019,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2019,03/10/2022,11/11/2024,,300,,לא,
3469,7290017647791,ירדן  קברנה סוביניון 2020,1,,היכל היין שקד גולן,,אדום,750,,2020,21/09/2022,16/09/2024,,180,,כן,
2195,7290017647876,ירדן  בראון סירה 2019,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2019,30/12/2016,11/11/2024,19/01/2022,200,,לא,
2193,7290017647982,ירדן  בראון קברנה סוביניון 2020,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2020,30/12/2016,,15/09/2023,300,,כן,
3099,7290017648019,בית אל  קברנה פרנק,1,יין אדום יבש,הלל מן - יקב בית אל,,אדום,750,יבש,2019,06/11/2020,08/10/2021,,105,,לא,
2946,7290017648026,בית אל  קברנה סוביניון 3 כרמים,1,יין אדום יבש,,,אדום,750,יבש,2017,18/02/2020,08/10/2021,,105,,לא,
2945,7290017648989,פסקו  קברנה,1,יין אדום יבש,,,אדום,750,יבש,2019,18/02/2020,07/11/2023,29/11/2022,110,,כן,
3603,7290017648996,פסקו  מרסלן פטי ורדו 2019,1,יין אדום יבש,פסקו,,אדום,750,יבש,2019,30/04/2023,07/11/2023,,110,,כן,
2780,7290017696843,שאטו רמו  גרנד בלנד 5 ליטר,1,יין אדום יבש,,,,,,,04/03/2019,02/02/2022,,850,,לא,
2793,7290017696997,אוריאל  סירה,1,יין אדום יבש,שאטו רמו,,אדום,750,יבש,2016,17/03/2019,02/02/2022,,85,,כן,
2936,7290017791142,פת במלח  קרקר כוסמין,9,,,,,,,,06/02/2020,06/02/2022,,24,,לא,
3381,7290017812540,כרמל  סירה  עין זיתים סירה 2018,1,יין אדום יבש,אגודת הכורמים - כרמל,,אדום,750,יבש,2018,24/03/2022,11/11/2024,,120,,לא,
3768,7290017812618,כרמל  מיץ ענבים רוזה 1ל,10,,,,רוזה,1L,,,08/04/2024,,,16,33,לא,
3113,7290017812670,יתיר  דרום אדום 2021,1,יין אדום יבש,תת01,,אדום,750,יבש,2021,26/11/2020,30/11/2023,,80,,כן,
3872,7290017812717,כרמל  מעליא,1,יין קינוח,אגודת הכורמים - כרמל,,אדום,750,מתוק,NV,26/09/2024,12/08/2025,,100,,כן,
2557,7290017812854,כרמל  גוורצטרמינר קינוח תל מחפי,1,יין קינוח,אגודת הכורמים - כרמל,,לבן,375,מתוק,2019,07/05/2018,11/11/2024,13/11/2023,93,,כן,
2881,7290017812939,יתיר  רוזה 2021,1,יין רוזה,אגודת הכורמים - כרמל,,רוזה,750,יבש,2021,16/09/2019,30/11/2023,21/05/2023,80,,לא,
3908,7290017872079,אגאדיס  מרקש 2018,1,יין אדום יבש,אגאדיס,,אדום,750,יבש,2018,26/11/2024,,,300,1,לא,
3318,7290017925790,מלכה  Strong Scotch Ale,16,,הכרם,,,750,,,06/01/2022,19/11/2024,,85,,לא,
3319,7290017925806,נגב  Imperial Porter,16,,הכרם,,,750,,,06/01/2022,19/11/2024,,85,,לא,
3320,7290017925813,הרצל  Barley Wine,16,,הכרם,,,750,,,06/01/2022,19/11/2024,,85,,לא,
3347,7290017983165,אדיר  קולומברד,1,יין אדום יבש,אדיר,,אדום,750,יבש,2021,22/02/2022,30/11/2023,08/04/2022,89,,כן,
2628,7290017983172,אדיר  גרנאש בלאן 2023,1,יין לבן יבש,פירות אדיר,,לבן,750,יבש,2023,14/09/2018,,08/02/2023,89,,כן,
4047,7290017983318,אדיר  מרסלן 2022,1,יין אדום יבש,מ. מורדכי,,אדום,750,יבש,2022,07/08/2025,,,110,6,לא,
3449,7290017983332,אדיר  נובמבר,1,יין אדום יבש,פירות אדיר,,אדום,750,יבש,2019,05/09/2022,11/11/2024,,420,,לא,
